formula,Density Score,Peak Score
H2,0.237,0.935
BiF5,0.236,0.823
TeF4,0.234,0.818
KNaICl,0.208,0.866
RbI,0.208,0.890
TlPF6,0.202,0.763
KBr,0.202,0.853
LiBr,0.200,0.794
SnF4,0.199,0.861
CsKICl,0.197,0.885
NbTe4,0.180,0.853
SbF3,0.143,0.859
BCl3,0.135,0.974
AsCl3,0.115,0.933
AsBr3,0.100,0.986
SbI3,0.070,0.876
InCl3,0.070,0.874
SeCl,-0.021,0.876
Tl2WCl6,-0.047,0.774
CsCoCl3,-0.099,0.820
RbMnBr3,-0.150,0.839
Cs2ICl6F,-0.213,0.811
K2SBrCl6,-0.215,0.791
Cs2SCl6F,-0.221,0.807
CsTiBr3,-0.298,0.847
HgIBr,-0.607,0.964
NiBr2,-0.634,0.940
FeBr2,-0.643,0.928
MnBr2,-0.651,0.930
CuBr2,-0.651,0.882
CoI2,-0.667,0.761
Sn4Bi2Se7,-0.767,0.782
