formula,Density Score,Peak Score
BaNa2,0.719,0.879
CaB2,0.719,0.907
Rb7Au5O2,0.718,0.874
Rb3Na,0.712,0.886
Rb,0.710,0.881
YCo3,0.689,0.898
Li2O2,0.686,0.934
Pt(SCl3)2,0.683,0.863
UF6,0.680,0.883
EuClO,0.676,0.895
RuF6,0.672,0.877
ScBi3,0.670,0.879
K3Hg,0.661,0.879
K3Sn,0.661,0.869
K3Cd,0.661,0.879
K3As,0.661,0.879
Li2NbF6,0.659,0.871
Rb3Sb,0.658,0.873
CsK2Sb,0.658,0.881
Rb3Cd,0.655,0.877
K3P,0.655,0.866
PrBr3,0.648,0.880
AcBr3,0.647,0.872
Li3InN2,0.644,0.864
TiI4,0.643,0.862
NiHO2,0.639,0.889
DyBr3,0.638,0.889
YBr3,0.637,0.898
NdI3,0.637,0.884
SmI3,0.636,0.890
NaF,0.633,0.887
HfBr3,0.632,0.898
MoBr3,0.631,0.868
K2GeF6,0.628,0.897
HF,0.626,0.920
SbF3,0.625,0.959
Rb2TiCl6,0.623,0.871
Rb2GeF6,0.619,0.888
K2PtCl6,0.617,0.872
Rb2PdCl6,0.616,0.874
Rb2PdBr6,0.615,0.886
Cs2PtCl6,0.615,0.873
CsF,0.614,0.874
Rb2WBr6,0.613,0.887
Cs2PtI6,0.612,0.885
Cs2PdI6,0.611,0.881
H5CNO2,0.607,0.900
Cs2PbCl6,0.605,0.878
Rb2SnBr6,0.604,0.884
SnF4,0.600,0.870
Cs2TeI6,0.597,0.884
SF6,0.597,0.876
KNaICl,0.596,0.878
H2,0.594,0.873
KBr,0.593,0.869
RbI,0.593,0.881
CsKICl,0.592,0.882
BCl3,0.566,0.894
AsCl3,0.562,0.879
FeF2,0.561,0.915
GeF2,0.559,0.911
AsBr3,0.558,0.901
SbI3,0.549,0.869
KCrF3,0.541,0.922
SeCl,0.539,0.864
TiSe2,0.535,0.868
PbClF,0.532,0.869
CsCoCl3,0.527,0.872
Ge3(BiO3)4,0.527,0.914
NbSe2,0.515,0.864
RbMnBr3,0.513,0.877
Cs2ICl6F,0.496,0.864
Cs2SCl6F,0.494,0.862
CsTiBr3,0.473,0.870
HgIBr,0.389,0.893
MnBr2,0.383,0.889
NiBr2,0.383,0.882
FeBr2,0.383,0.883
Sn4Bi2Se7,0.379,0.878
